OBJECTID,Country Name,Country Code,Indicator Name,Indicator Code,2014
232,Ukraine,UKR,CO2 emissions (kt),EN.ATM.CO2E.KT,228468.768
231,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,419743.155
233,United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5225412.661
235,Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,6747.28
236,Uzbekistan,UZB,CO2 emissions (kt),EN.ATM.CO2E.KT,105213.564
164,Vanuatu,VUT,CO2 emissions (kt),EN.ATM.CO2E.KT,154.014
238,"Venezuela, RB",VEN,CO2 emissions (kt),EN.ATM.CO2E.KT,185113.827
240,Vietnam,VNM,CO2 emissions (kt),EN.ATM.CO2E.KT,167336.211
250,Zambia,ZMB,CO2 emissions (kt),EN.ATM.CO2E.KT,4503.076
251,Zimbabwe,ZWE,CO2 emissions (kt),EN.ATM.CO2E.KT,12115.768
